"Reference","Quantity","Value","Footprint","LCSC Part","DNP"
"C1, C2, C3, C4, C7, C8, C9, C10, C12, C13, C14, C15, C16, C17, C18","15","10u","stdpads:C_0805","C15850",""
"C5, C6, C11, C19, C20, C21, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C48, C49, C50, C53, C54","32","2u2","stdpads:C_0603","C23630",""
"C46, C47, C52","3","22p","stdpads:C_0603","C1653",""
"FID1, FID2, FID3, FID4","4","Fiducial","stdpads:Fiducial","",""
"H1, H2, H3, H4, H5","5","~","stdpads:PasteHole_1.152mm_NPTH","",""
"J1","1","MacSEPDS","stdpads:DIN41612_R_3x32_Male_Vertical_THT","",""
"J2","1","JTAG","stdpads:Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical","",""
"J3","1","microUSB","stdpads:USB_Micro-B_Amphenol_10118192-0001","C132564",""
"J4","1","DBG","stdpads:PinHeader_2x06_P2.54mm_Vertical","",""
"J5","1","CLKIN","stdpads:PinHeader_1x02_P2.54mm_Vertical","",""
"J6","1","CLKDIS","stdpads:PinHeader_1x02_P2.54mm_Vertical","",""
"J7","1","PWR","stdpads:PinHeader_1x02_P2.54mm_Vertical","",""
"Q1, Q2","2","MMBT3904","stdpads:SOT-23","C20526",""
"R1, R2, R3, R4, R5, R7, R9, R13, R17, R18, R19, R20, R22","13","47","stdpads:R_0603","C23182",""
"R6, R12, R14, R15, R16, R21, R23, R24","8","DNP","stdpads:R_0603","",""
"R8, R10, R11","3","1k","stdpads:R_0603","C21190",""
"R25, R26, R27, R28","4","680","stdpads:R_0805","",""
"R29","1","22k","stdpads:R_0805","",""
"U1","1","XC95144XL-TQ100","stdpads:TQFP-100_14x14mm_P0.5mm","C45126",""
"U2, U13, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24","12","74AHCT573PW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","C141311",""
"U3","1","AZ1117CH-3.3TRG1","stdpads:SOT-223","C92102",""
"U4, U25","2","LM66100DCK","stdpads:SOT-363","",""
"U5","1","50M","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","C717684",""
"U6, U7","2","74LVC1G74DC","stdpads:NXP_VSSOP-8_2.3x2mm","C503431",""
"U8, U9","2","KM48C2100","stdpads:SOJ-28_300mil","",""
"U10, U11","2","39SF040","stdpads:PLCC-32","C645935",""
"U12","1","CH340G","stdpads:SOIC-16_3.9mm","C14267",""
"U14","1","MC68HC000FN20","stdpads:PLCC-68","",""
"U26, U27, U28","3","74LVC1G34GW","stdpads:SOT-353","C455045",""
"Y1","1","12M","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002",""
